No,reviewers_name,reviews_rating,reviews_title,reviews_text
11,evilnigga,4,Cheap fan service,"Everything that marvel has worked on for the past decade comes down to this epic climax. Surprisingly enough they pulled it off. It's not like every other Marvel movie where they all feel like a commercial for a movie that has yet to be made, this time it really feels like an ending but also a new beginning in a different direction. Despite it's grand spectacle they're never seem to quite grow from the formulaic storytelling, the only difference in this movie being there is more subplots. It is quite boring even for a superhero movie, running at an astonishing 3 hours, they spent the first half setting up for the giant climax that is basically a mindless action scene inserted with some emotional scenes that holds no value to me. On one hand this movie does its job as an homage and a fan service, on the other hand it is still the same old superhero movie that lacks risk and anything that challenge the viewers."
12,diggnuts,4,It is another movie for kids.,"For what it is, it is fine. Enough pew pew pew, smashy smashy and flashy effects and explosions to mindlessly entertain the inner 8 year old. THAT is all that this is. Anybody who thinks this type of media deserves the highest marks is a cultural empty vessel. Anybody who thinks this colourful nonsense should be rated like actual movies with actual content is deluded. Mindless escapism is fine. it just isn't art."
13,opashabms-90700,4,I might be the only one who doesn't like the way things ended.,"I am a Marvel fan, and probably the only one who didn't like this movie. Felt like it was slow, non sensical and unlike the previous Avengers movie, I didn't care what happened in the end. Dissapointing for me."
14,chi_town_fed,4,"A horribly, boring and goofy installment. Worst one yet.","This was a terrible film. I rented it and feel like I wasted my money. The movie is 3 hours long. 2 of those hours is just nonsense, comedy, and jabber. Then you get about thirty minutes of the big fight, followed by another thirty minutes of boredom. The male heroes are portrayed as buffoons, which is indicative of today's masculine-man-hating society. Based on today's man-hating culture, testosterone is evil. Women should be lumberjacks and Seal Team Six. Men should take estrogen pills and ask their wives to open the stuck peanut butter lid. I'm a proud sexist. I open doors for ladies. I also send my lady flowers just because, versus craftsman tools. This was one of the worst Avengers installments ever. Writers are so busy pushing their masculine-man-hating agenda by making the two most powerful Avengers (Thor and Hulk) water downed buffoons. They failed to capture the essence of the Avengers. If the Hulk and Thor are not smashing something or someone that is extremely powerful, Marvel isn't worth watching IMHO. They are the ultimate warriors. Yet in this installment, they are childish buffoons while the film piles on the feminist propaganda scenes. The nadless, testosterone-hating writers of today have devolved the Avengers franchise into a dramady sitcom."
15,varun-25071997,4,Repetitive and Bland,"Blockbuster movies are made to entertain people and we mustn't expect logic, I fully agree with that. I had great fun watching MI: Fallout and Alita Battle Angel this year but Endgame turns out to be like every other superhero movie that came out this decade. The opening scene features Jeremy Renner losing his family after Thanos' actions in the last film, after that scene to till the end the movie just bombards us with video game like action sequences and unfunny jokes. The plot of the movie is much better most superhero films to its credit but the dialogue and screenplay was no different. While I don't want to spoil the plot, this film has bought back all characters associated with the MCU and is a reunion delight for many hardcore fans. The final battle sequence is my least favorite part of the film, it features random action sequences and right from the very start you would know how its gonna end. If you are expecting it to be like the ones you saw in The Lord of The Rings or Harry potter you are gonna end up disappointed. If this is Robert Downey Jr.'s last film as Iron Man as per reports its a great news for all movie buffs, a talented actor like him has wasted his last 5 years acting only in MCU franchise movies which didn't fully utilize his potential. Finally, this movie is going to be the biggest blockbuster of the year without any doubt but its only the beginning of end of the superhero genre."
16,Derache,4,Made for nerds.,"Personally as person who isn't too much into all this comic book stuff, I watched this and it wasn't even mediocre. This was a terrible movie. The drama, characters and action all where really bad. There were still some good scenes in the movie, however over the 3 hour long movie, most of it was terrible. A lot of the acting felt forced, especially with the female superhero actors. There was not a good presentation or an interesting and surprising ending. Not to mention the terrible comedy spread throughout the film. Constantly repeating jokes that were not funny, and lots of references that were rather unfunny and forced. This felt like a nerdy fan film sequel to the really good movie, infinity war."
17,desertscrpion,4,The Wait is Finally Over. To The Last Chapter Of The Avengers Film Franchise is Here.,"After The Davastaed Events Of Last Year's Avengers infinity War Saw All Of Marvel's Awesome And Cool Superheroes Which includes Doctor Strange, Spider-Man, Maria Hill, Nick Fury, Star-Lord, Drax The Destroyer, Mantis, Groot, Scarlet Witch,Vision, Black Panther, The Wasp, The Winter Soldier And The Falcon All Turn To Dust And Ashes By a Snap From The Mad Titan Himself Thanos After He Collected All Six infinity Stones in His Gauntlet.... Now With Last Reminding Survivors Superheroes That includes iron Man, Captain America, Black Widow, Hulk, Rocket Raccoon, War Machine And Thor Are Left Wandering Of What To Do Until Scott Lang Ant Man Who Had Comes Out Of The Quantum Relem And Sees All Of Everyone Are Gone As He Tells The Last Reminding Superheroes That There is a Way To Bring Back All Of The Other Fallen Heros Who All Turned To Dust To Life By Undoing The Snap And Going Back in Time To Collect All Six infinity Stones Before Thanos Gets All Of Them And Try To Undo The Snap And Destroying Thanos For Good This Time And The Result is Yes, Thanks To iron Man Who Scarifices His Life As He Has All Infinity Stones And Undo The Snap But This Time He Mange To Destroy Thanos As He Himself Who Turn To Dust And Ashes And By Saving All Of The Comeback Superheroes. The Verdict is, Robert Downey Jr. in His Last Role As Tony Stark/Iron Man Who Gives One Of His Finest Performance Of a Lifetime, Along With Chris Evans Mark Ruffalo Chris Hemsworth Jeremy Renner Paul Rudd Don Cheadle Karen Gillan And Scarlett Johansson All Deliver First Rate Performances As Well As Black Widow, Captain America, War Machine, Hulk, Thor, Ant Man Nebula And Hawkeye Also Too it Was Great And Cool To See All Of The Other Cast Members Comeback As There Believeable And Iconic Characters in Which includes Bendict Cumberbatch As Doctor Strange, Sebastian Stan As The Winter Soldier, Chadwick Boseman As Black Panther, Elizabeth Olsen As Scarlet Witch, Anthony Mackie As The Falcon, Evangelion Lilly As The Wasp, Dave Bautista As Drax, Chris Pratt As Star Lord, Letitia Wright As Shuri, Danai Gurira As Okoye, Pom Klemetieff As Mantis, Vin Disell As Voice Groot, Zoe Saldana As Gamora, Tom Holland As Spider-Man, Gwyneth Paltrow As Pepper Potts, Brie Larson As Captain Marvel, Benedict Wong As Wong And Tessa Thompson As Valkyrie As They Come And Help Out To Fight And Destroy The Villainess Thanos For One And For All Played By Of Course Josh Brolin. Another Thing Of What i Like About This Final Chapter Of An Avengers Film Are Flashback Scene Sequences Of Seeing All Of The Pervious Cast Who Started in These Marvel Movies Are Robert Redford As The Villian Alexander Pierce And Frank Grillo As Brock Rumlow Both From""Captain America"": The Winter Soldier"", Nalalie Portman As Jane Foster And Rene Russo As Frigga Thor's Mother From The First ""Thor"" Film And it's Sequel, Tom Huddleston As Loki From The First Avengers Movie"", Tilda Swinton As ""The Ancient One From ""Doctor Strange"" John Slattery As Howard Stark Tony Stark's Father From ""Iron Man 2"", And Hayley Atwell As Steve Roger's Girlfriend Margaret Carter. Anyways Avengers Endgame is Truly One Of The Best And Perhaps The Greatest Final Avengers Film Of All Time With Action-Packed Moment Scenes, it's a Little Bit Of Emotional At Times Epespecially Since The Scene That involves Black Widow Who Scarifices Herself To Retrieve The Soul Stone And Avengers Endgame Has Great Humor Moments As Well. P.S. This Final Avengers Film Goes Out To The Great Late Stan Lee And For All Of His Cameo Appreances in Every Marvel Superhero Movie That He Started in."
18,urthpainter,4,One of the Worst 8.5+ Reviewed movies on IMDB,"First of all - this movie had to be brilliant to back up all the hype and legacy from earlier films. So is it brilliant? No, it's not even close. Second of all - Endgame just isn't a very good movie in any noteworthy sense, outside of effects and really good action scenes. And this brings me back to my first point. Perhaps this formula would work during the rise of comic films, but I can't see this film as anything but a huge disappointment. After a brutally emotional opening scene, that I have to admit - is really good, Endgame then proceeds to jump from scene to scene with inconsistent tone, pace, and development. A serious movie can have great humor, but the way Endgame uses slapstick humor, and non-serious characters is, well - silly. Is this a serious movie or not? Many of the films rules or conventions are openly broken to serve secondary storylines, and much of the 'science' is just plain dumb. I can suspend disbelief and get into stylized movies, but so much of this movie just comes off shallow and not really well thought out. This includes the story arc that to me has little natural flow. Many comic movies today seem to come off more as bad, incomplete TV episodes that rely on being part of a series for relevance. Movies should never be like that, and Endgame felt to me like three TV episodes jammed together, with three to five tac-on false endings. While I really liked many of the action scenes, which are clearly well conceived and beautiful to watch - at this point action scenes should be a given, and the story should have the same excellence. I don't feel like I'm being to picky when great movies in the Marvel universe exist (Dr. Strange for instance). I don't consider Infinity War one of them, but it's a heck of a lot better than Endgame. To me, outside of the opening scene, all the emotional moments fall absolutely flat. Considering the conclusion of Infinity War - there is a blatantly obvious sequence that should exude the epitome of joy. This part of the movie is hard to explain without giving spoilers, but in my opinion - this sequence is the writers biggest failure of the movie. The reunions are not well executed. Objectively, this movie probably deserves a 6 for production values, great action, and resolving the Infinity War outcome. But subjectively? I really thought this movie kinda sucked."
19,randomStuff101,4,"slighty awkward or boring at times, slow dialog, some cool stuff","Unfortunately clumsy. I enjoyed all previous Avengers, and a few scenes in this are very cool and funny, but this one lowers the bar overall. For me the story petered out instead of maintained momentum from previous movies. The dialogue struggles to be interesting, boring sequences at time. Clumsy Avengers fit awkwardly together for group photo, like bad high school reunion. That said, I enjoy Avengers like everyone else for years, just not this one so much. The super-power woman, Capt Marvel, her powers are overdone. Too simplistic, too much power. No reason for her to lose any fight. Was a big collective of all heroes even necessary? Sort of not really. Some scenes linger way too long, drawing out already thin content. And where was Dr Strange? He hardly had anything to say, and very brief appearance, yet he was in possession of crucial aspect of story."
20,shahrad,4,Much ado about nothing,"I'm an Avengers fan but to me, Endgame was the worst part. Infinity war was much better. Even the action scenes are incomparable. Only 4 stars!"
21,michaelheiser-25099,4,Not a great film sorry,"Not a great film, sorry. At the end of the day though that just underlines the problem with these movies. The heroes are far too powerful. Whatever power they need they simply possess conveniently. Heck, 'Dr Strange' can even see into the future to know exactly what to do to make sure everything turns out alright. If that isn't the stupidest thing I've ever seen in a movie I don't know what is. I felt like the movie went very much as expected as well. Sure some characters die, however they were pretty much telegraphed to do so long before the movie came out. There also seemed to be a lack of conflict as key moments. A lot of things went far too smoothly for my liking in terms of the plan. Finally, the ending with 'Iron Man' simply pulling the glove off 'Thanos' - what the hell was that? Was that supposed to be clever writing? 'Thanos' just standing there for an eternity doing nothing waiting for someone to stop him."
22,bogeyman786,4,A crock of ....,I'll be in the minority in that I didn't enjoy it. I'm not a huge marvel fan but having to watch 20 odd movies beforehand and keep track of the on-going storyline is a bit much
23,feritciva,4,"Endgame, begin disappointment","Maybe my expectations were too high. Maybe I expected more elegant & complex solutions. But what this movie gave to me was huge disappointment - with a little fun here & there (mostly includes Thor). In the end, Infinity War remained as far more better movie."
24,films-22537,4,Fan service the movie!,"On first viewing you love how everything is tied up. Stop there! If you've only seen this movie once do yourself a favor and don't ever watch it again. On second viewing this is a below average overly long film in which very little happens in a bloated second act. The only thing that still stands up is the Avengers trinity of Thor, Captain America and Iron Man versus Thanos, but it real makes you question the power levels of these characters, Thanos took them all out with no stones. The time travel subplot has more holes than swiss cheese I don't care how much screen time they gave explaining it and ""joking"" about it, I quote joking because in the MCU references count as jokes. There's the soul stone, in the last movie you had to make a sacrifice, how is Black Widow's suicide a Hawkeye sacrifice? How does Thanos not feel all 5 stones leaving his glove? Why so much build up about the glove in the previous movies if Iron Man can make one in a few hours, there's more, there's so much more but, at the end of the day Disney's 3-hour infomercial manage to make billions of dollars while not anger China or SJWs in the porcess, so for that alone this was impressive."
25,ellagilbert-23101,4,truly awful,Appallingly bad. Full of plot holes and convoluted action scenes. Maximalism for the sake of maximalism is not entertaining.
26,blownwideopen,4,How is this possibly at 8.6?,Let's see ... we can't write a decent story or come up with anything original any more. So let's just throw every character ever conceived of into a giant mashup & that'll make a great movie! Right? WRONG!!
27,allnewsuperfake,4,It's the kind of happy ending where your are happy that it's over,"Expect everything from this movie, because that*s what it's trying to be. It wants to be fan service. It wants to be an epic finale. It wants to be a beginning and stepping stone for the remaining heroes. It ends up being a collection of references and borderline fan fiction with a short 15 minute break for the kind of movie that you should expect from this franchise. Unfortunately you will be just exausted at that point by what retroactively seems like a bunch of ""Last week on Avengers"" clips. It's not even terrible, even though it's obvious filler material, it's often funny or heartwarming, but you see the minutes and hours walk by and it just. doesn't. go. anywhere. Up until the aforementioned 15 minutes, and those are painful since they remind you of the movie that you could have and should have seen up until this point. Followed by yet another 30 minutes of an ongoing funeral where the brand is literally and figuratively burries itself. Avengers managed to overstay their welcome, but I will still remember them fondly. But I also won't really miss them after this."
28,scubaseven,4,It's a movie.,Saw it in 3d otherwise it would have been terrible. Too many superheros for my liking.
29,funbaggs,4,Garbage!!!,Garbage that fits with today's over blown pc generation of over thinking and numbing lifeless endings. Not a fan of these films and this was the worst considering the waste of talent and plot that just seemed to be about over the top nonsense. The sad thing is how many people fall into the trap of thinking this movie has any validity of reality!!
30,simevo-20093,4,Wow. Unexpectedly disappointing,Really good first half. Dreadful second half. Really boring. About 50% as good as infinity war. Very disappointing
31,archer191273,4,Oh dear. I can't believe how diisapointed I am. So dissapointed. I wanted to cry.,"I'd tell the story I saw but it was all so confusing. I can't believe how high the garbage has been rated!!! I have seen every marvel movie that has been release and watched and liked Infinity war though I thought it dragged on. No super hero movie should ever go for more than 2 hours...EVER. Now it has dawned on me that disney and the writers of this flick had nothing but cash in mind when planning these. The first Avengers was amazing, i believed that age of ultron was the forerunner for something epic with Thanos then these 2 movies were just a massive let down but it's all about cash and I took the bait. Hook, line and sinker. A final movie is supposed to give all the answers but this just gave me so many questions and left me confused and wondering whether I loved or hated it. Now it has sunk in and I gave it thought i just hate it. Too many contradictions. Don't get me wrong. The action is good in this movie and there are parts I loved about it but the parts i hate out weighed them. Damn you Disney!!!!"
32,marialiiva,4,Infinity war was SO much better,"This one was boring. They could have taken out an hour of random stuff that was just drama material and boring. Also the best characters only came in the end (Groot, chris pratt and the other dudes from guardians of the galaxy) which is the only interesting part of the movie"
33,loyolite,4,Looks like bots are giving this a 10/10,"First of all it's a very loooooooong movie. 3 hrs. I was waiting for this one for months now, so excited at what was going to come. But Alas.. What a mess. The first hour is a complete boring time of them showing what the world has come to. I mean quite boring with slight humor. Second hour, the movie starts picking up, with more content (confusing time travel) and some good humor. The last hour (like when you are actually asking where's the action, where are the effects, 3D etc), it's starts to show some hope. And some action starts. Gets you going.. For a bit.. And then it ends. The action is hardly there.. Whatever is there is forgettable. Nothing worth like the earlier ones. Overall the movie is not a little below average, with nothing memorable in it. I can't believe the business is done. I came home and had to watch Infinity War to get over this one. And believe me folks... Infinity War was way better than this. Way way better with its story and action. Don't waste your money on this melodrama.. Watch it on TV when it comes..."
34,wvriend,4,As bad as sequels can be,"Hope 'endgame' means no more sequels. Story is so thin, the dialogues so silly and the melodrama painful that even the fine actors are not given a chance to show their abilities. What a marvellous waste ot time."
35,paul_haakonsen,6,"Visually great, but not an overly thrilling or exciting movie...","Well, I finally got around to watching ""Avengers: Endgame"", even though I already watched ""Spider-Man: Far from Home"", so I already knew some of the events that were to transpire in ""Avengers: Endgame"". And I am not really fond of the superhero genre, but I still watch the movies when given the chance, as they are usually visually fantastic and provide adequate entertainment. And of course with all the hype that ""Avengers: Endgame"" had gotten, of course I just had to sit down and watch it. First of all, the movie was long. A little bit too long actually. I did feel that directors Anthony Russo and Joe Russo were taking their sweet time getting to the core of the storyline, and just dancing around the bushes. In my opinion, the movie did suffer from this. Visually, well let's just go with 'wow'. Yeah, the movie was phenomenally stunning to look at visually given the CGI and special effects. But of course, being a Marvel movie, then you'd have top of the line special effects. And it is the visuals that carry the superhero movies quite a long way down the road. Story-wise, then I felt that the plot and storyline portrayed in ""Avengers: Endgame"" was a little bit too predictable and too generic. You already knew the movie's outcome when you sat down to watch it. Of course, Marvel weren't going to kill off a heap of their most beloved characters. No chance of that happening. So there weren't really much of any surprises along the way. And the time traveling aspect of the movie? Seriously? That was just downright idiotic. What worked for the movie, aside from the great visuals, was the impressive ensemble of actors and actresses that made an appearance in bigger or smaller parts throughout the course of the movie. Thumbs up for that. However, I found some of the dialogue to be a bit too corny and felt that it was written for a young audience. Was ""Avengers: Endgame"" a fulfilling closure to the Marvel storyline? Hardly so. The movie, while being entertaining enough, felt a bit shallow, with parts of the story quite poorly written. But if you, like me, come to the superhero movies mostly for the special effects, then ""Avengers: Endgame"" will definitely blow you away. All in all, I am rating ""Avengers: Endgame"" a six out of ten stars."
36,view_and_review,6,Solemn and Subdued,"I would be lying if I said that I wasn't a little disappointed. The Avengers: Endgame has been one of the most anticipated movies since... well since The Force Awakens but that was way back in 2015 and in this day and age that's like a million years ago. The point being: Endgame was the talk of the town since all of those beloved MCU characters faded away. Infinity War was such an epic movie what could Marvel do as an encore? Or better still, what could Marvel do to conclude the magnificent journey they took us on? If anything, Endgame proves that it's hard to write a perfect ending. Perfect endings are stuff of legend. Whether the ending has a twist, a ride off into the sunset, or a mixed bag they are hard to write and hard to execute. Endgame is supposed to be just as the title suggests: the end. This is where the Avengers wrap it all up. Endgame was one long goodbye and it seems they tried to make it as heartfelt and dramatic as possible. Infinity War started with a bang and ended with a bang. It was a fast moving roller coaster throughout. It came together so nicely with all the different characters, the different tasks, and the different battles. It was a superb blend of flavors that came together for an excellent meal. Endgame, on the other hand, was almost like a decompression. If you were huffing and puffing from Infinity War then Endgame was a chance for you to rest, catch your breath, and absorb all of what happened. It was a long slow exhale with just one last burst of energy before retiring. And it wasn't what I was expecting. Not that getting what one expects is necessary to be considered good because sometimes you can be surprised in the best way. After all, we've trusted Marvel thus far so no reason not to trust them to put the finishing touches on their masterpiece. Now that I've seen their final brush strokes and the completed work I have to say that their hand slipped a little when adding the finishing touches. Like a fireworks show or a symphony I wanted the ending to be this huge crescendo. I'm not talking simply about the last 20-30 minutes of the movie, but the entire movie. I wanted to see all of the fine Marvel characters in their finest form, or close to it, as they went for their last hurrah. I wanted them all to be like John Elway retiring after his second Super Bowl, retiring on top, not Muhammad Ali who held on too long and had a less than flattering exit from boxing. But that's not what I got. We got to see heroics, of course it's a superhero film, but it was so subdued. The entire tone of the movie was muted. It was a somber morose three hours. The humor wasn't as humorous. The fighting was somehow less awesome. Everything was just darker and more lifeless. Even the hero moments which were supposed to evoke the most joy, awe, and righteous triumph didn't quite do it. Now it could be because it was 12 a.m. by the time the movie wrapped up and I was tired but I don't think that was it. Many a movie has revived me due to it's captivation. End Game didn't revive me or stir me in the way I thought it should. If anything, they put me to rest along with the Avengers saga. I was going for a conclusion, yes, but I also wanted reinvigoration and revival. Sadly, I got solemn and subdue"
37,Wuchakk,6,How can they possibly save half of all living beings in the Universe?,"How are the surviving Avengers & Co. possibly going to save half of the Universe that died? My wife & I had this discussion before viewing. It basically comes down to two options (assuming the events in ""Infinity War"" weren't just a dream): magic or time travel. All I'll say is: What they came up with was in ways reminiscent of the plot convolutions of ""Back to the Future II"" (1989).""Endgame"" (2019) begins strong with the devastating reality of half of all living beings in the Universe suddenly vanishing. It starts to get lethargic about an hour in, but perks up with the three teams trying to apprehend the Infinity Stones so they can maybe reverse what happened at the end of the previous film.Everything naturally leads to a huge battle in the last hour that I found boring, not to mention that the epilogue tended to drag on with too much of it being tedious. Still, there are lots of worthy bits throughout, like the opening, the unpredictable first encounter with Thanos, Thor getting flabby, the moving match between Black Widow and Hawkeye at the cliff's edge, and much more. Unfortunately, the myriad protagonists work against the film because it can't concentrate on any one or two characters for very long. Captain Marvel is short shifted and decidedly dull. Plus the movie's overlong at 3 hours, 1 minute."
38,trashgang,6,way too long,"Maybe it's better to see Infinity War (2018) because it do picks up what is left of that particular flick. Clocking in over 3 hours it was for me way too long to watch.Maybe no-one will understand me but 3 hours it has to be good. And it do has it moments building up to the fight towards the last part of this flick but it also has a lot of boring moments and moments were they are talking too much.I's towards the last half hour that it really becomes what you're waiting for, the endgame. As said, it's not all that bad but the irritating conversations of Tony Stark made me yawn a lot and even reach for the remote control.Nice to see that Spiderman is involved sadly we do know by now that it could be a once in your lifetime experience. DC and Marvel coming together, not for Disney anymore. Money makes the world goes around."
39,imseeg,6,Silly special effects in an even sillier story. BUT the actors starring in it are good and the dialogues between them are terrific,"The good: how strange it is, that this movie is one of the biggest action blockbusters in history, but the acting performances in it are still really good! Tilda Swinton and Robert Redford, to name a few supporting actors, are starring in it! That's ludicrous. Those actors never star in these kind of movies. But they do, now. Therefore the biggest gift of this Avenger movie are the ACTOR'S. It's an actor's movie! The bad: it lasts WAY TOO LONG. 3 hours! What were they thinking? I got bored halfway through this story. The story is completely silly, although the dialogues are still very good. There is more bad: lots of SILLY special effects. I mean, come on, with SO much money available they could at least have come up with more credible looking special effects and sets, but they didnt. Conclusion: nice, mindless fun, with great actors. Too bad the story is so silly and lasts way too long..."
40,jamesrupert2014,6,Spectacular but redundant and uninteresting,"More of the same - following Thanos' elimination of half the life in the Universe, the remaining Avengers decide to go back in time (or to an alternative time path, this is not really clear) to yet again look for the Infinity Stones so they can try to reverse the malignant halving. Since the stones are scattered around the Universe, once again a number of sub-adventures ensue, then there is yet another huge battle in which everyone in the MCU gets at least a cameo (including Captain Marvel and Scarlet Witch, so everyone else could have just gone fishing). Since the plot includes time-travel/alternate realities and infinitely powerful wish-fulfilment anything can happen, so just watch, don't think. Smart Hulk and Fat Thor are a lot less interesting than their predecessors and one can't help but wonder why the least powerful (and least interesting) Avengers are sent into space rather than participate in the more mundane search in the past (or whatever) or could the filmmakers have found an actress who looked less like a Valkyrie from Teutonic myth than Tessa Thompson. While clearly a fan pleaser, I found the film overly-long, derivative, and generally uninteresting. Too bad, as I really liked 2018's 'Infinity War'."
41,jellopuke,6,"A fine ending, but a Meh movie","Yay! This ends the marvel movie franchise! What? It's doesn't. Ugh. Oh well, at least this wraps up a lot, ends the major villain plot, has a few laughs, and gives everyone a moment to shine. Sure it has a million logic and continuity flaws, but who cares when you're breezing through so fast. Doesn't feel like three hours and well worth watching. That said, I never want to see another marvel movie let alone re-watch one."
42,shakercoola,6,A victory lap for a loyal audience,"An American action adventure; A story about an ingenious inventor and scientist adrift in space with no food or water but his fellow superheroes, known as Avengers, must figure out a way to bring back their vanquished allies, and rescue the inventor, for an epic showdown with Thanos, an evil demigod who decimated Earth and the universe. This comic-book derived fantasy is the twenty-second film in the series of Marvel films and is a special effects-driven story and a direct follow up to ""Avengers: Infinity War"" and deals with themes such as loss, revenge, and the attempt to put right past wrongs. For viewers familiar with the previous films and characters, it provides exciting, entertaining action, witty humour and smart dialogue. But it lacks the exhilaration of ""Avengers Assemble"" and lacks the high point humour of ""Guardians of the Galaxy"". By its second act it begins to feel predictable; it seeks gravitas but too many jokes destroy tension and suspense and there is a reliance on a time travel plot device which make a meal of the past, present, and future time continuum as narrative time. Thanos is the most interesting character, providing subtlety as the archvillain, and Robert Downey Jr as Iron Man is the fulcrum, as always, which is a boon because Thor gets bogged down in a belaboured comic routine and Hulk fails to deliver any of his trademark power."
43,RNMorton,6,At a loss for words,"It's the next day after I've seen Endgame and I still don't quite know what to make of it. So I'll mention the downsides first: 1) Infinity War was a mess, there was just too much thrown at you without making much sense; to expect the audience to recall all the ins and outs of Infinity War was asking a little much; 2) they do some real interesting things here, particularly time travel, but don't overthink (or even partially think) the real complications or it will ruin it for you; 3) some of the stuff that happens either doesn't make sense or runs counter to earlier Avenger movies, and 4) the raccoon from Guardians shouldn't have had a major role. Plus a bonus complaint, how they treated Thor was stupid. On the plus side: 1) the sheer weight of the movie is spectacular, with a few exceptions the CGI doesn't get in the way of the story; 2) the logistics of the plot allows some of our favorite characters to do something magical, deserving and sometimes quite unexpected; 3) the work by nearly all of the main actors is quite good. So to recap the Avengers book: 1 was the best superhero movie ever; 2 was a disappointing bust; 3 had too much to work with but some of it was good stuff; and 4 was enjoyable with some moderate reservations."
44,agmoldham,6,Extremely Ambitious,"I've never been a super fan of Superhero movies. Having said that have seen most of the marvel films. The one takeaway from Avengers Endgame is that it is an extremely ambitious piece of film making. It's unusual that so many of the actors and artists who many people have come to idolize over the years should come together in a film. The film starts five years after Infinity Wars ended. Not going to include any spoilers, but there's a good part of the opening half of the film spent looking into the devastating consequences of Infinity Wars which are very script/character driven. Not surprisingly the second half of the film is very much action based and the 3 hours running time fairly fizzes along. Although it isn't perfect Endgame is definitely one of the best Superhero movies I've watched and lived up to expectations."
